"","y","v"
"1",-1.28630765871982,1.67
"2",0.233525053916841,0.36
"3",-1.70867733770245,1.29
"4",-2.72096830385916,0.78
"5",-1.55159770502296,1.38
"6",-1.14144533080429,0.88
"7",-0.680678408277789,1
"8",1.15697876114704,2.28
"9",0.411025038844665,1.49
"10",-2.65639112153537,1.52
"11",2.03854456632938,1.03
"12",2.93738913110646,1.69
"13",3.10319541004592,1.87
"14",3.11541271480988,4.51
"15",2.22529479629277,2.16
"16",2.9845130209103,2.99
"17",-2.84139602224677,3.54
"18",-2.52723675688779,0.91
"19",-2.53421807389577,0.76
"20",-0.478220215046445,1.59
"21",-1.11352006277238,0.89
"22",0.28012534494509,0.62
"23",-1.28979831722381,0.59
"24",-0.495673507566389,0.8
"25",-1.35961148730358,0.35
"26",-1.61442955809475,0.17
"27",0.339292006587698,1.07
"28",-0.675442420521804,0.53
"29",0.346796922371273,3.33
"30",-2.25845605208066,2.13
"31",-2.9862583501623,2.25
"32",-2.2148228207808,1.14
"33",2.34397718542838,1.8
"34",1.64410015537866,1.32
"35",0.973021057986839,2.08
"36",-2.79601746169492,3.73
"37",-2.34397718542838,3.47
"38",-2.34223185617639,3.97
"39",-2.48360352558793,3.27
"40",-2.26194671058465,3.47
"41",-2.13453767518906,5.21
"42",-2.30383461263252,2.29
"43",-2.22529479629277,0.85
"44",1.31685092062972,1.21
"45",-0.155334303427495,1.66
"46",-0.717330322569669,1.12
"47",2.94262511886244,1.55
"48",0.045204027626653,0.37
"49",-1.61268422884276,1.31
"50",-0.378736447682769,1.02
"51",-1.67726141116655,0.79
"52",-0.509636141582344,1.55
"53",-2.462659574564,1.96
"54",2.19038821125288,1.63
"55",-1.31074226824774,1.45
"56",-1.12399203828435,0.65
"57",-1.6632987771506,0.56
"58",-0.0244346095279209,1.63
"59",3.01941960595019,1.62
"60",-1.4782938764392,0.66
"61",0.374373124552783,1.78
"62",-1.45385926691128,0.53
"63",2.51851011062782,1.21
"64",1.51494579073108,1.34
"65",2.36492113645232,1.66
"66",-2.91120919232654,0.12
"67",-2.8937558998066,0.08
"68",-1.15889862332423,0.19
"69",-0.626573201465964,0.05
"70",-0.932005820564971,0.64
"71",-2.32128790515246,0.33
"72",-0.438077642250576,0.24
"73",-3.01069295969022,0.001
"74",0.0455530934770518,1.02
"75",-0.56025068989018,1.83
"76",-1.48876585195116,1.39
"77",-1.26536370769589,1.76
"78",-0.808087443673376,1.62
"79",-0.561996019142175,1.68
"80",-0.781907504893461,1.09
"81",-0.434586983746588,2.67
"82",-1.02450827092067,1.65
"83",-0.616101225953997,3.05
"84",-0.687659725285766,2.63
"85",0.234572251468038,2.19
"86",2.97055038689435,3.12
"87",-2.59530459771557,2.44
"88",-3.00545697193423,3.13
"89",-2.56214334192768,2.35
"90",-3.08225145902199,1.04
"91",-2.98974900866629,2.24
"92",0.989950751731183,1.45
"93",-1.66504410640259,1.08
"94",-1.65806278939461,0.001
"95",-1.45909525466726,0.3
"96",-2.24972940582069,1.45
"97",3.10668606854991,1.02
"98",2.82394272972683,0.05
"99",0.492706447837999,1.04
"100",1.5097098029751,2.13
